Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_CUI_CPT-9019S-SMT,1,CPT-9019S-SMT-TR,
C1,0603,1,10uF,
"C2, C3",0603,2,4.7uF,
"C4, C5",0603,2,100nF,
C6,0603,1,10nF,
C7,0603,1,1uF,
"D2, D3",0805,2,LED,
D4,WL-SBRW_1205_reverse mount,1,"Red & Blue, 120°",
J1,USB_C_Receptacle_GCT_USB4125-xx-x-0190_6P_TopMnt_Horizontal,1,USB_C_Receptacle_PowerOnly_6P,
J2,PinHeader_1x04_P2.54mm_Vertical_SMD_Pin1Right,1,Conn_01x04_Pin,
L1,0603,1,10uH,
"Q1, Q2, Q3, Q4, Q5",SOT-23,5,IRLML6401,
Q6,SOT-23,1,IRLML6244,
"R1, R10, R11, R12, R2, R3, R4, R5, R6, R7, R8, R9",0603,12,470,
"R13, R14, R20",0603,3,1k,
"R15, R16, R17, R18, R19",0603,5,10k,
"SW1, SW2",SW_SPST_Omron_B3FS-100xP,2,SW_Push,
U2,TSOT-23-5,1,LM3670MF-3.3,
U3,LTC-4627Jx,1,LTC-4627JD,
U4,LQFP-32_7x7mm_P0.8mm,1,STM32F030K6Tx,
