Designator,Mid X,Mid Y,Rotation,Layer
BZ1,144.19,-74.46,270.0,bottom
C1,129.93,-129.2,180.0,bottom
C2,129.98,-137.59,0.0,bottom
C3,153.32,-107.83,45.0,bottom
C4,151.98,-109.07,45.0,bottom
C5,141.98,-118.88,225.0,bottom
C6,139.29,-111.93,0.0,bottom
C7,139.27,-113.57,0.0,bottom
D2,123.794571,-96.895429,135.0,bottom
D3,137.42,-97.56,45.0,bottom
D4,132.1,-123.205,180.0,bottom
J1,125.87,-150.9,90.0,bottom
J2,157.99,-118.59,90.0,bottom
L1,129.93,-131.19,0.0,bottom
Q1,135.1675,-150.3125,0.0,bottom
Q2,139.515625,-150.3125,0.0,bottom
Q3,148.211875,-150.3125,0.0,bottom
Q4,152.56,-150.3125,0.0,bottom
Q5,143.86375,-150.3125,0.0,bottom
Q6,151.5625,-78.67,270.0,bottom
R1,142.285,-127.12,270.0,bottom
R10,127.867,-101.431,270.0,bottom
R11,136.08,-119.4925,270.0,bottom
R12,137.9,-119.4825,270.0,bottom
R13,156.8525,-65.06,0.0,bottom
R14,137.8,-65.02,180.0,bottom
R15,154.36,-127.12,90.0,bottom
R16,152.635,-127.12,90.0,bottom
R17,149.185,-127.12,90.0,bottom
R18,147.46,-127.12,90.0,bottom
R19,150.91,-127.12,90.0,bottom
R2,138.835,-127.12,270.0,bottom
R20,150.66,-72.3,90.0,bottom
R3,144.01,-127.12,270.0,bottom
R4,156.085,-127.12,270.0,bottom
R5,157.81,-127.12,270.0,bottom
R6,145.735,-127.12,270.0,bottom
R7,140.56,-127.12,270.0,bottom
R8,159.535,-127.12,270.0,bottom
R9,134.5,-101.2,270.0,bottom
SW1,153.77,-60.45,180.0,bottom
SW2,140.92,-60.45,180.0,bottom
U2,129.88,-134.25,270.0,bottom
U3,143.02,-151.84,90.0,top
U4,147.04,-114.06,90.0,bottom
